                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.5969,                0.33046,                0.82151,                0.63978,                0.21846,                0.82419,                 0.9172,                0.82663,                0.90131,                0.57309,                   1.24,                0.82028,                  1.058,                 1.3164,                0.90468,                 1.0609,             0.00090304,             0.00090304,             0.00090304
                     25,                0.57116,                0.32042,                0.81703,                0.61148,                0.20624,                0.81848,                0.93261,                0.84349,                0.91517,                0.57909,                 1.2327,                0.74463,                 1.0598,                 1.3188,                0.88188,                 1.0644,             0.00087136,             0.00087136,             0.00087136
                     26,                0.54702,                0.31039,                0.81217,                0.57994,                0.19656,                0.81325,                0.94147,                 0.8334,                 0.9118,                0.58539,                 1.2098,                0.70489,                 1.0575,                 1.2997,                0.83733,                 1.0538,             0.00083968,             0.00083968,             0.00083968
                     27,                0.52434,                0.30388,                0.80779,                0.56068,                0.19044,                0.80888,                0.90859,                0.83421,                0.89219,                  0.571,                 1.2161,                0.72647,                 1.0579,                 1.3047,                0.95044,                 1.0615,               0.000808,               0.000808,               0.000808
                     28,                0.50704,                0.29475,                0.80441,                0.54182,                0.18326,                0.80549,                0.91629,                0.83784,                0.90406,                0.58137,                 1.2151,                0.78944,                 1.0622,                  1.294,                0.89174,                 1.0618,             0.00077632,             0.00077632,             0.00077632
                     29,                0.49038,                0.29035,                0.80178,                0.51865,                 0.1741,                 0.8018,                0.93975,                 0.8455,                0.91246,                0.59019,                 1.1995,                0.68925,                 1.0578,                 1.2842,                0.92614,                 1.0573,             0.00074464,             0.00074464,             0.00074464
                     30,                0.47628,                0.28275,                0.79958,                0.50081,                  0.168,                0.79907,                 0.9533,                0.86043,                0.92973,                0.60079,                 1.1942,                 0.6234,                  1.055,                 1.2814,                0.77421,                  1.061,             0.00071296,             0.00071296,             0.00071296
                     31,                0.44808,                0.27088,                0.79569,                0.47367,                0.15933,                 0.7948,                0.94233,                0.86342,                0.92325,                 0.5996,                 1.1811,                0.68546,                 1.0555,                 1.2693,                0.81203,                  1.062,             0.00068128,             0.00068128,             0.00068128
                     32,                0.42517,                0.26223,                0.79139,                 0.4511,                0.15336,                0.79118,                0.94715,                0.85639,                0.92015,                0.59251,                 1.1981,                0.66781,                 1.0626,                 1.2833,                0.84245,                 1.0655,              0.0006496,              0.0006496,              0.0006496
                     33,                0.41844,                0.25821,                0.79111,                 0.4434,                0.15161,                0.79071,                0.91087,                0.84308,                0.89408,                0.58112,                 1.1799,                 0.8169,                 1.0589,                  1.268,                0.95306,                  1.065,             0.00061792,             0.00061792,             0.00061792
                     34,                0.40039,                0.24969,                0.78764,                 0.4207,                0.14616,                0.78735,                0.94036,                0.87771,                0.92853,                0.59662,                 1.1855,                 0.6628,                 1.0589,                 1.2837,                0.79851,                 1.0649,             0.00058624,             0.00058624,             0.00058624
